제목,주최,마감일,분야,링크,내용
제1회 글로벌도시관광서밋 콘텐츠 공모전,제1회 글로벌도시관광서밋 사무국,D-2,"기획/아이디어, 브랜드/네이밍, 광고/마케팅, 사진/영상/UCC",https://www.campuspick.com/contest/view?id=30831,"🌐제1회 글로벌도시관광서밋 콘텐츠 공모전

도시문화와 로컬관광의 새로운 가능성을 함께 만들어 갈 여러분을 기다립니다!

📌공모대상: 로컬관광에 관심 있는 누구나 (국내외 제한 없음)

📌공모기간: 2025. 8. 25. (월) ~ 9. 26. (금)

📌공모주제 *주제별 각각 대상/우수상 1인(팀)씩 시상 예정
1. TPO 회원도시 대상 ""나의 원픽 해외관광도시""
2. 앞으로 더 좋아질 글로벌 관광허브 부산
3. 글로벌도시관광서밋을 홍보할 수 있는 자유주제

📌공모형식: 30초 이상~1분 이내의 숏폼 영상

📌공모방법
1. 글로벌도시관광서밋 @gctsbusan 인스타그램 팔로우
2. 출품자 SNS에 공모 영상 업로드
(필수해시태그 #글로벌도시관광서밋 #gctsbusan #부산)
3. 글로벌도시관광서밋 공식 홈페이지에서 응모신청서 양식 다운로드 및 작성 후 이메일 제출
📧gctsbusan@gmail.com
🔗www.gctsbusan.org

📌시상규모: 총 500만원 상당
- 보다 자세한 시상내역은 함께 업로드된 이미지와 공식 홈페이지를 확인해주세요.

👀✨관광도시 부산의 매력을 널리 알려줄 다채로운 콘텐츠를 기대하며, 많은 참여 부탁드립니다!"
2025 K-water 물사랑 공모전(숏폼),한국수자원공사,D-6,사진/영상/UCC,https://www.campuspick.com/contest/view?id=30803,"[공모부문]
영상 제작을 활용한 숏폼 콘텐츠 제작


[공모주제]
“일상 속의 물”의 의미를 창의적으로 풀어낸 숏폼 영상
※ 4가지 키워드 중 1개 선택
① 재밌는 물 ② 맛있는 물 ③ 소중한 물 ④ 아름다운 물


[참가자격]
물을 사랑하고 한국수자원공사에 관심이 있는 누구나(개인 또는 팀(최대 4인))


[공모기간]
‘25. 8. 25(월) ~ ’25. 9. 30(화)


[참가방법]
‘이메일 : bitsolcomm@bitsol.kr’을 통한 온라인 접수
* 제출서류 양식은 ‘K-water 홈페이지–새소식–물사랑공모전’에서 지원서 다운로드 후 접수


[제출서류]
① 참가신청서 ② 개인정보수집동의서 ③ 제작 영상


[출품규격]
120초 이내 세로형 영상(9:16 비율), FHD(1920x1080) 해상도 이상



[추진일정]
영상공모(~9.26) - 예선심사(~10.17) - 본선심사(10.31) - 발표(11.1~) - 시상식(~11.28)



[시상 내역]
총 상금 1,400만원


[유의사항]
1) 작품 제출 관련
- 제출된 작품은 반환되지 않으며, 접수 마감 이후에는 수정 또는 교체가 불가합니다. 팀 참가 시 대표자 1인을 지정하고, 모든 연락은 대표자에게 일괄 진행됩니다.
- 공모 분야 및 주제에 따라 일부 제출 규격(파일 형식, 분량 등)을 지키지 않을 경우 심사 대상에서 제외될 수 있습니다.

2) 저작권 및 활용권
- 응모작의 저작권은 원칙적으로 응모자에게 있으나, K-water는 수상작에 한해 홍보, 교육 등으로 사용 및 2차 저작물 제작에 활용할 수 있습니다.
- 응모작은 제3자의 저작권, 초상권, 상표권 등 타인의 권리를 침해하지 않아야 하며, 침해 발생 시 모든 책임은 참가자에게 있습니다.
※ 외부 소스(음악·이미지·폰트 등)를 사용한 경우, 수상작에 한해 무료 또는 유료 라이선스에 대한 증빙 서류를 제출해야 합니다.

3) 생성형 AI 활용 시 기준
- 작품에 생성형 AI 기술(예: ChatGPT, Midjourney, Runway, Suno 등)을 사용할 시 반드시 유료 버전을 활용해야 하며, 어떤 도구를 어떤 방식으로 활용했는지 제출 서류에 반드시 명시해야 합니다.
- AI 사용은 자체 생성 범위에서만 허용, 타인의 AI 콘텐츠(예: 프롬프트 공유 콘텐츠 등) 사용 및 저작권 침해 요소가 있는 경우 자동 탈락 또는 수상 취소 대상이 됩니다.
- 참가자는 AI 도구의 이용약관 및 상업적 라이선스 조건을 확인했음을 서면으로 확인해야 하며, 추후 저작권 분쟁 발생 시 모든 법적 책임은 참가자에게 있습니다.

4) 수상 취소
- 다음의 경우 수상은 취소되며, 상금은 환수 조치됩니다.
① 표절 또는 타인의 콘텐츠 무단 도용
② 생성형 AI의 저작권·상업 이용 규정 위반
③ 동일 작품의 타 공모전 중복 수상
- 수상 후 원본 파일 및 클린본 제출이 의무화될 수 있으며, 미제출 시 심사 결과가 취소될 수 있습니다.
- 이외의 법적·윤리적 문제 발생 시 심사 대상에서 제외되며, 수상 후에도 취소 및 상금 환수 대상이 됩니다.

5) 기타
- 출품작이 심사 기준에 미달할 경우 시상 인원을 축소하거나 시상하지 않을 수 있습니다.
- 공모 주제 또는 일정은 K-water 사정에 따라 변경될 수 있으며, 변경 시 사전 공지됩니다.
- 개인 또는 팀은 복수의 작품을 출품할 수 있으나, 수상은 1회로 제한됩니다.

[문의]
빛솔커뮤니케이션(070-4680-6967)
* 운영시간 : 평일 오전 10시~오후 5시"
제6회 한의약 홍보 콘텐츠(노래) 공모전,한국한의약진흥원,D-6,예체능,https://www.campuspick.com/contest/view?id=30789,"제6회 한의약 홍보 콘텐츠(노래) 공모전을 실시합니다!

음악과 한의약이 함께하니, 좋지 한의한가!
한의약의 가치와 매력을 노래를 통해 널리 알릴 수 있도록
여러분의 많은 관심과 참여 바랍니다!

■ 공모기간
- 접수기간: 8. 25.(월)~9. 30.(화)
- 결과발표: 11. 14.(금) 예정
- 시상식: 11. 28.(금) 예정
※추후 개별 공지, 기관 사정에 따라 변동될 수 있음

■ 지원자격
- 대한민국 국민 누구나(개인 또는 팀)

■ 공모주제
- 한의약의 가치와 매력을 담은 노래
- 자유로운 주제 선정 가능하나, 한의약 대중화 등 인식 개선에 기여하는 내용이어야 함
※ 자세한 내용은 공모전 요강 확인

■ 공모분야
- 노래(3분이내)
- 장르 제한 없음

■ 응모방법
- 한국한의약진흥원 홈페이지(알림마당▶공지사항), 공식 블로그에서 응모 서식 다운로드 받아 작성한 후 공모 작품 파일과 함께 이메일 제출
- 이메일 접수: 2025contest.nikom@gmail.com
※ 메일 제목 및 파일명: 성명(혹은 팀명)_작품명.zip

■ 시상내역
- 대상: 보건복지부장관상 / 1작품 / 300만원
- 최우수상: 한국한의약진흥원장상 / 1작품 / 200만원
- 우수상: 한국한의약진흥원장상 / 2작품 / 각 100만원

■ 공모전 운영사무국 문의
- 02-6177-7310
- 2025contest.nikom@gmail.com"
2025년 제6회 공공저작물 활용 사례 공모전,문화체육관광부,D-6,기획/아이디어,https://www.campuspick.com/contest/view?id=30782,"제목
2025년 제6회 공공저작물 활용 사례 공모전


● 참가 자격
공공저작물을 활용하여 제품·서비스를 개발(또는 개발 예정인) 창업 기업 또는 예비창업자

● 공모 주제
- 공공저작물 활용 제품 및 서비스 개발 사례
* 활용 공공저작물은 공공누리 1유형에 한함
** 글꼴의 경우, 공공안심글꼴을 활용 해야하며 민간안심글꼴은 공공저작물 활용으로 인정하지 않음

● 공모 일정
2025-08-25 (월) ~ 2025-09-30 (화) 23:59 까지

● 시상 내역
- 대상 1개 기업, 문화체육관광부 장관상, 상금 300만원
- 최우수상 1개 기업, 한국문화정보원장상, 상금 200만원
- 우수상 2개 기업, 한국문화정보원장상, 상금 100만원

● 제출 형식
◦ 참가신청서 1부
◦ 기획서 1부
◦ 서약서 1부
◦ 사업자등록증 1부(해당자에 한함)

● 접수 방법
공공누리 누리집 접수 페이지를 통한 온라인 접수 (https://www.kogl.or.kr/contest/contestMain.do)

● 유의 사항
- 활용한 공공저작물의 저작권자를 제품 및 서비스에 반드시 표기해야함
* 예시: 소요단풍체 (저작권자: 경기도 동두천시)
- 제출서류는 모두 PDF로 변환하여 제출해야 함
- 수상작은 공공누리 사이트 및 한국문화정보원 사이트에 공개될 수 있으며, 공공저작물 이용활성화 목적을 위해 재편집 되어 사용될 수 있음
- 공모전에 선정된 자가 공고문 및 관련 규정에 위배되거나, 참여신청서의 내용을 허위 기재 또는 누락한 경우, 선정 취소 및 상금 환수 등의 조치를 받을 수 있음
동 사업 신청·접수 이후 공개된 아이디어는 법적으로 보호받을 수 없으며, 이를 보호받기 위해서는 신청자가 공개 이전에 직접 지식재산권을 획득하여야 함
- 공고문에 명시되지 않은 사항은 동 사업 운영지침에서 정하는 바에 따르며, 해당 사항의 미숙지로 발생하는 불이익 및 그에 따른 책임은 사업 신청자에게 귀속됨
- 평가위원 및 평가점수에 대한 정보는 공개하지 않음
- 상금은 제세공과금 공제 후 지급됨

● 문의 사항
운영사무국 평일 09:30~18:00
- (전 화) 02-3488-8353
- (이메일) koglytube@gmail.com"
제 1회 친환경뽁뽁이 '블루에어캡' 25초 영상 공모전,블루에어캡,D-2,"기획/아이디어, 광고/마케팅, 사진/영상/UCC",https://www.campuspick.com/contest/view?id=30745,"✅ 공모주제(택1)
1. 일상 속에서 친환경 뽁뽁이를 활용한 창의적 아이디어 영상
2. 친환경 뽁뽁이 브랜드 ‘블루에어캡’의 차별화된 가치와 메시지를 전달하는 영상



< ‘블루에어캡’ 친환경 뽁뽁이 USP >
1) 국내 최초 환경부 재생원료 포장재 인증 획득
→ 공신력 있는 친환경 인증으로 차별화된 신뢰성
2) 공장 직영 생산을 통한 합리적 가격
→ 일반 뽁뽁이와 비슷한 금액대, 비용 부담 없는 친환경 선택
3) 지속 가능한 포장재
→ 사용 후 재활용이 쉬워 ESG·친환경 가치 실현 가능


✅ 공모일정
- 접수: 2025. 8.21(목) ~09.26 (금) 23:59까지
- 최종 발표: 2025. 10.2 (목) - 오전 10시, 개별 이메일 안내


✅ 참가자격- 제한 없이 누구나 참여 가능 (개인 또는 팀)

✅ 시상내역
1) 대상 (1명) : 상장 ＋ 50만원
2) 우수상 (2명) : 상장 ＋ 20만원
3) 장려상 (5명) : 상장 ＋ 네이버페이 2만원 포인트 기프티콘

✅ 심사기준
- 주제 적합성 (30) - 블루에어캡 친환경 뽁뽁이의 가치 반영도 및 주제 부합도
- 확산 가능성 (30) – 유튜브·인스타 알고리즘에 최적화된 바이럴력
- 창의성 (20) – 아이디어 독창성, 표현 방식의 참신함
- 완성도 (20) – 영상 품질, 메시지 전달력, 활용도

심사 방식: 1차 내부심사(80%) + 2차 대중심사(조회수+좋아요)(20%)

✅ 참여방법
- 영상규격: 25초 이상 영상 파일 16:9 세로형

대학생 대외활동 공모전 채용 사이트 링커리어 https://linkareer.com/

STEP 1: 개인 SNS (유튜브 or 인스타그램)에 필수 해시태그와 함께 업로드
#친환경뽁뽁이 #블루에어캡 #친환경PCR에어캡
STEP 2: 네이버폼 참가 신청서 제출 → http://naver.me/FfBe51bl



✅ 영상 제작용 샘플 수령 안내
(선택)- 수령 방법: 회사 방문 or 택배 배송 택 1 (※ 택배비 전액 회사 부담)
- 네이버폼 방문 신청서 or 배송 신청서 제출 필수
- PCR 뽁뽁이 롤 / PCR 뽁뽁이 봉투 / PCR 뽁뽁이 시트 중 택 1

방문 신청서 https://naver.me/xmBxSW7c
배송 신청서 https://naver.me/FqZWgaAt


📢 문의처
E-mail:blueaircap@sumwelltech.com
전화: 070-8834-8290 (평일 9~18시, 12~13시 제외)


📢 블루에어캡 브랜드 정보

https://blueaircap.co.kr
인스타그램: @blue_aircap"
"백억커피x곰믹스 AI 활용 영상 공모전 백억커피, 어디까지 알고있니",곰앤컴퍼니,D-DAY,사진/영상/UCC,https://www.campuspick.com/contest/view?id=30725,"공모명
백억커피 x 곰믹스 AI 활용 영상 공모전
“백억커피, 어디까지 알고있니?”

주최/주관
주최 : 곰앤컴퍼니, 백억커피

이벤트 페이지
https://contest.gomlab.com/contest/202503

참가 자격
- AI 및 콘텐츠 제작에 관심있는 누구나
- 대학생 가능

공모 분야
- AI 영상

공모 주제
- “백억커피, 어디까지 알고있니?”
백억커피의 매력을 알리는 영상을 AI를 활용해 재미있게 만들어주세요!

AI 활용 예시
1. 100% AI로 생성한 영상
2. 영상을 촬영하고 AI 배경음악을 활용한 영상
3. 영상을 촬영하고 TTS(AI 보이스)를 사용한 영상
4. AI로 만들어진 음악에 맞춰 제작한 영상
5. 기타 영상에 AI를 활용한 모든 영상
* 제작 규정이 아닌 예시이니 AI를 활용해 자유롭게 참여 부탁드립니다.

시상 내역
- 대상 (1팀) : 상금 200만원, 백억커피 5만원 쿠폰, 곰이지패스 영구권, 백억커피 상장 수여
- 최우수상 (2팀) : 상금 100만원, 백억커피 3만원 쿠폰, 곰이지패스 영구권, 백억커피 상장 수여
- 우수상 (3팀) : 상금 30만원, 백억커피 2만원 쿠폰, 곰이지패스 영구권, 백억커피 상장 수여
* 참여자 전원 백억커피 아메리카노 쿠폰 증정 (출품 요건에 부합하는 영상에 한하여 출품당 제공)

참여 혜택
- AI로 작업한 영상을 곰믹스로 편집 마무리 시, 모든 참가자에게 곰믹스 1개월 이용권 증정
- 수령 방법
① 곰랩 사이트에서 회원가입 (www.gomlab.com)
② gomlabevent@gomcorp.com 메일로 공모전 참여 의사와 이용권 필요 수량 전달 (회신 평일 기준 약 하루 소요)
③ 받은 이용권을 [곰랩 > 마이페이지 > 제품 및 라이선스 > 이용권 추가 등록]에서 등록 후 사용

공모 일정
- 출품 기간 : 2025.08.20 ~ 2025.09.24

작품 요건
- 프레임 : 1080*1920 또는 1920*1080
- 길이 : 30초 ~ 120초
- AI 활용 (AI 영상 생성, AI 음성 합성, TTS, AI 편집 도구 등)
- 파일 형식 : MP4 (용량 1GB 이내)
- 해상도 : Full HD 이상

접수 방법
1) 백억커피의 다양한 매력을 표현한 AI 활용 영상 제작
2) 제작 영상을 개인 SNS에 업로드
3) 이벤트 페이지에서 신청 정보 작성 후 영상 제출
* 해시태그 : #백억커피 #곰믹스 #AI영상공모전 #백억커피AI영상공모전
* SNS 채널 : 유튜브, 인스타그램, 틱톡 모두 가능

심사 방법
① 심사위원 : 백억커피, 곰앤컴퍼니 직원 투표
② 심사 기준 : 작품성, 완성도, 창의성, 브랜드 적합성, AI 기술 활용 적합성 등을 종합 평가
③ 수상작 발표 : 2025.09.29

문의처
gomlabevent@gomcorp.com"
2025년 제5회 신영문화재단 건축문화상 공고,신영문화재단,D-DAY,"기획/아이디어, 기타",https://www.campuspick.com/contest/view?id=30721,"2025년 제5회 신영문화재단 건축문화상 공고

<2025년 제5회 신영문화재단 건축문화상 개최 안내>

■ 신청자격 : 2025년도 국내 대학교 건축학부(학과) 졸업예정 대학생

■ 공모작품 : 본인 또는 (팀)공동제작 졸업작품 중 학과장 추천을 받은 우수 졸업작품(각 학과별 우수 졸업작품 10개 한정 제출)

■ 접수기간 및 심사
-1차 접수: 2025.09.10~2025.09.24
-2차 접수: 2025.11.17 (작품 설치)
-2차 심사일(PT발표): 2025.11.19. (*필수 참여)

■ 접수방법
-1차 작품 접수: 신영문화재단 홈페이지 접수
(https://www.shinyoungfoundation.org/)
- 2차 작품 접수 : 1차 심사 통과한 8개 졸업 작품
* 접수기간 : 2025.11.17
* PT발표장 내 방문 접수 + 작품 설치 (작품 설치는 신청자 본인이 하는 것을 원칙으로 함)
*자세한 접수 방법 및 상세 내용은 공고문 확인

■ 시상내역
- 대 상(1) : 상금 1,000만원, 상장
- 최우수상(1) : 500만원, 상장
- 우수상(1) : 300만원, 상장
- 장려상(5) : 작품당 100만원, 상장
- 입선작(4~6) : 작품당 50만원
*2차 심사 진출자 전원에 대해 심사위원들의 멘토링 별도 추진 예정



■공고문 확인
https://www.shinyoungfoundation.org/bbs/board.php?bo_table=3_1&wr_id=143

■ 문의 :T: 02-723-0770/0771, Email: scf@shinyoung21.com
※ 자세한 내용은 첨부 파일 확인
(신영문화재단 2025년 제5회 건축문화상 공고문)

■ 건축문화상 아카이브
유튜브:
https://www.youtube.com/channel/UCLi5mWsx3pV9pUqvp96p2OA
인스타그램: https://www.instagram.com/scf_0515/"
✨ 2025 신문홍보 만화·영상 공모전 ✨,한국신문협회,D-2,"기획/아이디어, 사진/영상/UCC",https://www.campuspick.com/contest/view?id=30704,"✨ 2025 신문홍보 만화·영상 공모전 ✨
✅ 신문의 중요성을 알리는 아이디어를 보여주세요!

📰 주제
1. 신문의 사회적 가치·역할
2. 신문의 특장점
3. 신문과 관련한 에피소드 등

🖍️ 만화 부문
- 초·중·고·대학생 대상!
- 1~4컷 만화 (디지털/손그림), 개인당 2점
- 7.21(월) ~ 9.26(금) 오후 3시까지

📧 접수: webmaster@presskorea.or.kr
💰 대상 각 100만 원, 우수상 각 50만 원

🎥 영상 부문
- 전 국민 누구나!
- 30~60초 (세로형, 1080×1920px 이상), 개인당 1점
- 7.21(월) ~ 9.26(금) 오후 3시까지

📁 접수: 한국신문협회 웹하드
ID: presskorea / PW: 2251
💰 대상 200만 원, 우수상 100만 원(2명)
.
.
자세한 내용은 한국신문협회 웹사이트(http://www.presskorea.or.kr)에서 확인하세요!😍🤗

#한국신문협회 #신문홍보 #영상공모전 #만화공모전 #네컷만화 #아이디어공모전
#2025공모전 #대학생공모전 #중학생공모전 #고등학생공모전 #초등학생공모전
#저널리즘 #공모전모음 #공모전추천 #대외활동 #공모전정보 #상금200만원"
"🫟창작 수필 공모전 - ""현생에 현타는 오지만, SNS는 하고싶어""💬",페르소나랩,D-4,문학/수기/시나리오,https://www.campuspick.com/contest/view?id=30674,"🫟창작 수필 공모전 - ""현생에 현타는 오지만, SNS는 하고싶어""💬🫟

🧑🏻‍💻공모 개요
당신의 SNS 속 모습은 진짜 '나'인가요, 아니면 연출된 자아일까요?
디지털 세대의 솔직한 이야기를 듣고자, 대학생 여러분을 위한 창작 수필 공모전을 개최하였습니다.

이번 공모전은 SNS라는 공간 속에서 우리가 경험하는 감정, 고민, 자아의 변화를 주제로 합니다. 가볍고 흥미로운 시선, 혹은 깊고 진솔한 고백. 어떤 방향이든 당신의 '진짜 이야기'를 기다립니다.

🫟공모 주제
""현생에 현타는 오지만, SNS는 하고싶어""👥
(아래 2가지 주제 中 택 1의 시점/형식으로 작성해 주세요)

1. 나의 시선에서💬
- SNS 속 나와 현실의 나 사이의 간극
‘좋아요 수’에 따라 기분이 오르락 내리락한 경험
- 온라인 자아를 꾸미며 느낀 감정 등

2. 타인의 시선에서💬
- 친구 또는 가족의 계정을 바라보며 느낀 생각
- SNS 속 타인의 삶이 주는 압박감
- 이상적인 삶처럼 보이는 타인의 계정을 통해 반추하는 나

🫟공모 부문
• 장르: 수필
• 분량: 500자 이상 1000자 이하 (공백 포함)
• 형식: 자유 형식

🫟공모 일정
• 접수 기간: 2025년 8월 18일 ~ 9월 28일
• 결과 발표: 2025년 10월 13일
• 심사 방식:
1차 - 서면 심사 (제출 원고)
2차 - 필요 시 인터뷰 진행 (비대면 또는 대면)

🫟시상 내역
• 1등 (1명): 상금 30만원 + 특별 제작 기념품
• 2등 (2명): 상금 20만원 + 기념품
• 3등 (3명): 상금 10만원 + 기념품
• 참가상: 소정의 브랜드 쿠폰 증정 (추첨 10명)

🫟심사 기준
• 독창성 (30%): 기존의 틀에서 벗어난 창의적인 관점
• 문장력 (30%): 감정 전달의 섬세함과 문장의 흐름
• 공감력 (30%): 대학생 독자들에게 얼마나 다가오는지
• 진정성 (10%): 글에 담긴 솔직함과 몰입도

📌 유의사항
응모작은 미발표 순수 창작물이어야 합니다.
표절, 모작, 타인의 경험 도용 시 심사 제외 및 수상 취소됩니다.
응모작의 저작권은 응모자에게 있으며, 주최 측은 홍보 목적의 활용 권한을 가집니다.
접수 마감 후 원고 수정은 불가합니다.
수상자는 개별 연락 후 본인 확인을 거쳐 시상됩니다.

🫟페르소나랩 소개
사이트: https://kjocvxx61s.qshop.ai/
인스타 : @persona_lab.8

🫟지원방법
https://walla.my/v/G2eCYcDnkYEqvk1kuhbk

🫟문의사항
이메일 persona.lab.std@gmail.com"
2025 대한민국 청목 캘리그라피 공모전,한국청목캘리그라피예술협회,D-6,"예체능, 기타",https://www.campuspick.com/contest/view?id=30643,"[2025 대한민국 청목 캘리그라피 공모전]

한국 캘리그라피 문화 확산을 선도해 온 사단법인 청목캘리그라피예술협회에서
감성적인 서체 예술가를 발굴하고 동반성장하기 위해
2025 대한민국 청목 캘리그라피 공모전을 개최합니다.
박목월·조현석 시인의 시를 바탕으로 자신만의 손글씨를 통해
캘리그라피의 예술 공모전에 참여하고 싶은 분이라면 누구나 참여 가능하며,
우수작은 전시 기회와 함께 상금 및 협회 상장을 수여합니다.
또한 강사로 성장하기위해 지원합니다.
많은 작가님들의 열정적인 도전을 기다립니다.

⸻

■ 접수마감
2025년 9월 30일(화) 24:00까지

■ 작품심사 2025.10.10
■ 수상작 발표 2025.10.15
■ 시상식 2025.11.10

⸻

■ 출품주제
박목월 시인의 詩 중에서
조현석 시인의 『차마고도 외전』 詩集 중에서

⸻

■ 시상내역
대상: 2명 (청목캘리 1명, 일반캘리 1명) / 각 100만원
금상: 2명 (청목캘리 1명, 일반캘리 1명) / 각 50만원
은상: 4명 / 각 30만원
동상: 8명 / 각 10만원
특선: 00명 / 상장 + 소정의 기념품
입선: 00명 / 상장

⸻

■ 작품 접수 안내
접수처: 경기도 의정부시 서부로 545 창업관 651호
접수비: 1작품 60,000원 / 2작품 80,000원 / 3작품 100,000원
입금계좌: 기업은행 651-012791-04-015 (사)한국청목캘리그라피협회

※ 접수비에는 작품 도록 포함 (1작품 2권 / 2작품 4권 / 3작품 6권 제공)
※ 작품 액자 설치비 별도 (대상, 금상, 은상, 동상은 필수)
※ 작품 반환 택배비 별도

⸻

■ 수상작 발표 및 시상식
발표: 협회 홈페이지 www.kcca-society.kr
시상식 및 전시장소: 경민현대미술관

⸻

■ 문의
010-9143-2313 (담당자: 조미경 이사)"
2025 제 21회 한국능률협회컨설팅 경영혁신 대학(원)생 공모전,한국능률협회컨설팅(KMAC),D-2,기타,https://www.campuspick.com/contest/view?id=30585,"[2025 제21회 한국능률협회컨설팅 경영혁신 대학(원)생 공모전]
미래의 대한민국을 선도할 대학생 및 대학원생들을 통해 경영혁신에 대한 참신한 시각을 발굴하고, 이를 대한민국 산업계와 학계에 널리 공유함으로써, 변화와 혁신에 대한 Insight를 제공·전파하고자 합니다. 대학(원)생 여러분들의 열정과 도전을 기다립니다.


◆ 응모 자격
국내·외 대학생 및 대학원생(휴학생 포함) / 개인 및 팀(팀 구성은 6인 이내)


◆ 공모 주제
• AI 및 디지털 기반 경영혁신
- 생성형 AI를 활용한 산업별 DX 사례 및 적용방안
- 중소·중견기업의 클라우드 기반 업무혁신 사례
• 정부정책과 공공부문 혁신
- 공공기관의 ESG·디지털 전환 정책 추진에 대한 민간 협력 모델
- 지자체의 지역 혁신 정책과 민간참여 사례 분석
• 대학경영 혁신
- 대학 내 오픈이노베이션 생태계 구축 사례
- 디지털 캠퍼스 전환과 인재 양성 효과 분석
• HR 및 인재육성 혁신
- 디지털 트랜스포메이션 시대의 역량 중심 인재 육성 방안
- MZ세대의 참여를 이끄는 조직문화 혁신 전략
• CX (고객경험) 혁신
- B2B기업의 고객 여정 기반 맞춤형 CX 전략
- AI 챗봇·메타버스를 활용한 고객경험 혁신 시도
• 산업 융합과 오픈 이노베이션
- 대기업-스타트업 간 오픈이노베이션 협력 사례
- 제조·서비스 융합 비즈니스 트렌드 연구
• 사회적 가치 기반 경영혁신
- 사회적 기업의 지속가능한 성장 전략 분석
- 탄소중립 및 친환경 혁신을 통한 가치 창출 사례
• 글로벌 시장 진출 및 협력 전략
- 중소기업의 디지털 플랫폼을 활용한 글로벌 진출 전략
- 한국-아세안 협력 기반 공동 비즈니스 사례 연구


◆ 일정 안내
• 응모신청 접수: 2025년 9월 26일(금) 18시까지
• 과제물 접수: 2025년 10월 24일(금) 18시까지
• 1차 서류심사 결과 발표: 2025년 11월 11일(화)
• 2차 PT 심사(1차 합격팀): 2025년 11월 14일(금)~15일(토)
• 최종 결과 발표: 2025년 11월 27일(목)
• 시상식: 2025년 12월 9일(화)
※ 상기 일정은 주관사 및 기타 사정에 따라 변동 가능


◆ 신청 방법
• 응모신청 접수: 온라인으로 접수(https://www.kmac.co.kr/portal/index?seq=10#news_conestView)
• 과제물 접수: e-mail 접수(E-mail : oneshs@kmac.co.kr 파일명 : 팀명 또는 개인명)
※ 제출 서류
1. 보고서(아래아한글(hwp), MS word형식, A4용지 20페이지 내외(30페이지 초과 시 1차 서류에서 탈락)
2. 확약서 1부


◆ 시상내역 및 수상특전
시상규모: 총 20팀 3,300만원
• 대상(1팀): 장학금 700만원 및 상패
• 최우수상(2팀): 장학금 500만원 및 상패
• 우수상(5팀): 장학금 200만원 및 상패
• 장려상(12팀): 장학금 50만원 및 상장
※한국능률협회컨설팅 입사지원 시 입사 우대


◆ 문의처
한국능률협회컨설팅 대학(원)생 공모전 운영 사무국
• Tel: 02-3786-0158 / E-mail: oneshs@kmac.co.kr
• 공모전 홈페이지: https://www.kmac.co.kr/portal/index?seq=10#news_conestView
• 공모전 네이버카페: https://cafe.naver.com/futureconsultant"
2025 우리농산물매력알리기콘텐츠공모전,농협경제지주,D-6,"사진/영상/UCC, 디자인",https://www.campuspick.com/contest/view?id=30508,"👉 총 상금 1,350만원 규모의 2025 우리 농산물 과채류 콘텐츠 공모전에 주목해보세요.

이번 공모전은 사진, 영상, 카드뉴스 등 다양한 형식의 콘텐츠로 우리 농산물, 그 중에서도 국산 과채류의 매력을 널리 알리는 대국민 캠페인형 공모전입니다.
누구나 참여 가능하고, 작품 형식도 자유로워 당선 확률이 꽤 높은 공모전이기도 하죠.

🍅 주제는?
""국산 과채류의 가치를 발견하고 함께 공유하는 즐거움""을 표현하면 됩니다.
예를 들어,

🍆 가지, 애호박, 파프리카 같은 과채류의 효능이나 건강 기능성을 알리는 콘텐츠

🍓 딸기, 참외, 멜론을 활용한 레시피, 요리 영상, 먹방

🥒 장을 보거나 직접 재배하는 등의 일상 속 소비 실천 콘텐츠

🫑 GAP(우수농산물관리제도)나 친환경 인증에 대한 설명이 포함되면 가산점까지!

생활 밀착형, 실용 콘텐츠일수록 심사위원 눈에 띌 확률이 높겠죠? 😊

✅ 참가 정보
📅 접수기간: 2025년 7월 10일 ~ 9월 30일

💻 접수 방법:
👉 공식 홈페이지: www.ucc-contest.com
👉 또는 구글폼: 바로가기

👥 개인 또는 팀(3인 이하) 참여 가능

🎥 출품 형식: 영상, 사진, 카드뉴스 (자유 주제 + 과채류 관련성 강조)

📌 국산 과채류 10개 품목 한정
(오이, 토마토, 애호박, 가지, 풋고추, 파프리카, 참외, 딸기, 멜론, 상추)
※ 수입산 사용 시 자동 탈락 주의!

🌟 왜 이 공모전이 여름방학에 딱 맞을까?
✔ 형식 자유 – 유튜브 영상, 인스타 사진, 카드뉴스 등 자신이 잘하는 방식으로 도전 가능
✔ 작품 3점까지 중복 접수 가능 – 시리즈 형태로 구성해서 당선 확률 높이기!
✔ 생활 밀착 주제 – 장보기, 요리, 일상 브이로그 등 누구나 콘텐츠화 가능
✔ 스펙 & 수상 실적 – 수상 시 공식 기관 표창 + 포트폴리오에 활용 가능
✔ 전공 무관 참여 가능 – 누구나 창의력만 있으면 도전 OK!

올여름, 집에서 시원하게 촬영하고, 예쁘게 편집해서
건강한 우리 농산물 과채류의 매력을 알리고
상금과 수상 실적까지 챙겨보세요!

📌 지난 수상작과 가이드라인은 공모전 공식 홈페이지에서 확인할 수 있습니다.
👉 www.ucc-contest.com
놓치면 아쉬운 기회, 지금 바로 도전해보세요! 🍅🍆🥒"
